id,name,class,city,origin,updated_at,created_at
61,Grape Ape,class-indica,,,1361781201,1491564088
405,Grape God,class-hybrid,,,1408989488,1451642316
20,Grape Krush,class-hybrid,"Los Angeles, California","33.9875499,-118.4792248",1361781199,1446030981
216,Grape Kush,class-indica,,,1361781260,1491559523
365,Grapefruit,class-indica,,,1361787186,1417518854
1,Great White Shark,class-sativa,,,1361781198,1446026509
122,Green Crack,class-sativa,"Los Angeles, California","33.9875499,-118.4792248",1361781210,1491567814
133,Green Queen,class-indica,,,1361781212,1491564917
160,Hash Plant,class-indica,,,1361781218,1491563098
5,Haze Heaven,class-hybrid,"Amsterdam, Netherlands","52.3710755,4.8723518",1361781198,1491564383
903,Headband,class-hybrid,,,1408989676,1417516915
607,Heavy Duty Fruity,class-hybrid,,,1408989563,1417521574
817,Hindu Kush,class-indica,,,1408989643,1491563866
351,Hindu Skunk,class-indica,"Kabul, Afghanistan","34.5539097,69.057646",1361785688,1417516865
9,Holy Grail Kush,class-indica,,,1361781198,1491564421
483,Ice,class-indica,"Amsterdam, Netherlands","52.3710755,4.8723518",1408989513,1491563811
175,Ice,class-hybrid,,,1361781225,1491561171
420,Island Sweet Skunk,class-sativa,,,1408989493,1449751263
194,Jack Flash,class-hybrid,"Los Angeles, California","33.9875499,-118.4792248",1361781232,1491562138
527,Jack Frost,class-hybrid,"Los Angeles, California","33.9875499,-118.4792248",1408989527,1417520268
85,Jack Herer,class-sativa,"Amsterdam, Netherlands","52.3710755,4.8723518",1361781203,1491564531
428,Jack the Ripper,class-hybrid,,,1408989495,1491565539
42,Jedi Kush,class-indica,"Los Angeles, California","33.9875499,-118.4792248",1361781199,1491562710
976,Jilly Bean,class-indica,,,1408989700,1455721228
253,Juicy Fruit,class-hybrid,"Los Angeles, California","33.9875499,-118.4792248",1361781402,1417521191
429,Juicy Fruit,class-hybrid,,,1408989496,1452689427
300,Kali Mist,class-sativa,,,1361782017,1491564070
846,Kandy Kush,class-indica,"Eureka, California","40.782124,-124.158391",1408989654,1417516057
141,Killer Purple,class-indica,"Toronto, Canada","43.6570321,-79.6010342",1361781213,1491561839
700,Kosher Kush,class-hybrid,"Los Angeles, California","33.9875499,-118.4792248",1408989598,1491563681
435,LA Confidential,class-indica,,,1408989497,1417519235
462,Larry OG,class-hybrid,"Los Angeles, California","33.9875499,-118.4792248",1408989506,1417519556
83,Lavender,class-indica,,,1361781203,1491564826
786,Lavender Kush,class-indica,,,1408989633,1491563512
841,Lemon Drop,class-sativa,"Los Angeles, California","33.9875499,-118.4792248",1408989652,1491563249
634,Lemon Kush,class-hybrid,,,1408989573,1417521852
861,Lemon Kush,class-hybrid,,,1408989659,1417516238
453,Lemon Stomper,class-sativa,"Eureka, California","40.782124,-124.158391",1408989503,1417519496
76,Lemon Thai Kush,class-hybrid,"Los Angeles, California","33.9875499,-118.4792248",1361781202,1491563643
399,LSD,class-hybrid,,,1408989486,1417518794
534,M39,class-hybrid,"Toronto, Canada","43.6570321,-79.6010342",1408989530,1464173281
257,Mango,class-indica,,,1361781430,1491563117
409,Mango Haze,class-hybrid,"Amsterdam, Netherlands","52.3710755,4.8723518",1408989490,1491562008
410,Mango Kush,class-hybrid,,,1408989491,1417515363
724,Mango OG,class-indica,"Denver, Colorado","39.751058,-105.002062",1408989610,1417522959
16,Master Kush,class-indica,,,1361781198,1491565742
406,Maui Wowie,class-sativa,,,1408989489,1417518914
226,Mean Green,class-hybrid,,,1361781277,1491565650
309,Medicine Man,class-hybrid,,,1361782480,1491563662
431,Mendo Purps,class-hybrid,"Eureka, California","40.782124,-124.158391",1408989496,1417519165
173,MK Ultra,class-indica,,,1361781224,1491563268
3,Mr. Nice,class-indica,,,1361781198,1491563174
376,Nebula,class-hybrid,,,1381018452,1417524101
491,New Freezeland Orange,class-hybrid,"Seattle, Washington","47.6129432,-122.4821475",1408989515,1478692272
43,Northern Lights,class-indica,,,1361781199,1491564328
422,NYC Diesel,class-hybrid,,,1408989494,1417519055
176,OG Bubba Kush,class-indica,,,1361781225,1491564569
398,OG Kush,class-hybrid,,,1408989485,1417518774
251,OGKushBreath Girl Scout Cookies,class-hybrid,"Eureka, California","40.782124,-124.158391",1361781398,1491564991
